timestamp,deltaP,airspeed
527.080217999999,-684.068665,33.6366463
527.098054,-684.068665,33.6365318
527.134958,-635.732727,32.4261322
527.152054,-655.060852,32.9157906
527.170258,-693.748352,33.8732338
527.206918,-655.060852,32.9154968
527.224054,-626.05304,32.1783676
527.242958,-635.732727,32.4261398
527.278958,-635.732727,32.4264069
527.296054,-635.732727,32.4270515
527.315602,-626.05304,32.178257
527.332138,-655.060852,32.9152985
527.368054,-635.732727,32.4260597
527.386957999999,-693.748352,33.873951
527.404054,-693.748352,33.8742294
527.440221999999,-693.748352,33.8735695
527.458062,-703.412415,34.1088028
527.495674,-713.092102,34.3425713
527.512054,-703.412415,34.1087265
527.53025,-703.412415,34.109211
527.566922,-693.748352,33.8738937
527.584058,-703.412415,34.1090584
527.602957999999,-684.068665,33.6372185
527.638058,-693.748352,33.873867
527.656058,-703.412415,34.1089516
527.674966,-684.068665,33.6365395
527.692058,-693.748352,33.8736877
527.728058,-693.748352,33.8734818
527.747002,-684.068665,33.6366997
527.764058,-693.748352,33.8738327
527.800238,-703.412415,34.1083794
527.818062,-703.412415,34.1084709
527.855605999999,-722.756165,34.5743332
527.872058,-703.412415,34.1082573
527.890254,-693.748352,33.8732338
527.926922,-693.748352,33.873642
527.944057999999,-693.748352,33.8744087
527.962962,-693.748352,33.8737106
527.998962,-693.748352,33.8734207
528.016057999999,-693.748352,33.8733749
528.034962,-684.068665,33.6365967
528.052057999999,-684.068665,33.6365967
528.088062,-703.412415,34.1087456
528.107194,-703.412415,34.1093521
528.14297,-722.756165,34.5747223
528.160226,-703.412415,34.1088066
528.178062,-703.412415,34.1090584
528.215646,-684.068665,33.6366425
528.232142,-693.748352,33.8743935
528.250998,-693.748352,33.8741302
528.286966,-693.748352,33.8741302
528.304061999999,-693.748352,33.8734207
528.32321,-703.412415,34.1089706
528.358978,-703.412415,34.1091652
528.376061999999,-693.748352,33.8735809
528.39561,-693.748352,33.8738823
528.412061999999,-713.092102,34.3428879
528.448061999999,-703.412415,34.1089554
528.46693,-713.092102,34.3425827
528.484062,-713.092102,34.3427429
528.520226,-693.748352,33.8725243
528.538062,-693.748352,33.8737602
528.574966,-703.412415,34.1088867
528.592062,-684.068665,33.6365318
528.610258,-693.748352,33.8732605
528.646966,-693.748352,33.874382
528.664074,-684.068665,33.6357574
528.683005999999,-693.748352,33.8743706
528.718978,-693.748352,33.8741951
528.736062,-703.412415,34.1097603
528.75561,-703.412415,34.108593
528.772062,-703.412415,34.108593
528.808066,-713.092102,34.3417816
528.826926,-693.748352,33.8736191
528.844066,-693.748352,33.8735504
528.88023,-693.748352,33.873745
528.898066,-693.748352,33.8742676
528.934966,-693.748352,33.8737602
528.952062,-684.068665,33.6362915
528.970257999999,-693.748352,33.8738632
529.00697,-703.412415,34.1085854
529.024066,-693.748352,33.8739204
529.04297,-703.412415,34.109333
529.078981999999,-635.732727,32.426609
529.096066,-645.39679,32.6716461
529.115614,-655.060852,32.9163437
529.132149999999,-645.39679,32.6726341
529.168066,-635.732727,32.4262657
