Time (ms);Barometer (Pa);Lon (° dec);Lat (° dec);Alt (m ASL)
768002;147210;-8.2891607;39.3901405;169
770401;147300;-8.2891607;39.3901367;169
772801;147340;-8.2891607;39.3901367;170
775201;147390;-8.2891607;39.3901367;170
777601;147470;-8.2891607;39.3901367;170
780002;147540;-8.2891617;39.3901367;170
782401;147620;-8.2891617;39.3901367;170
784801;147670;-8.2891617;39.3901367;170
787201;147760;-8.2891617;39.3901367;170
789601;147800;-8.2891617;39.3901329;171
792002;147900;-8.2891607;39.3901329;171
794401;147970;-8.2891607;39.3901329;171
796801;148050;-8.2891598;39.3901329;171
799201;148120;-8.2891598;39.3901329;171
801601;148190;-8.2891598;39.3901329;171
804002;148260;-8.2891579;39.3901329;171
806401;148330;-8.2891569;39.3901329;171
808801;148400;-8.2891560;39.3901329;171
811201;148470;-8.2891550;39.3901329;171
813601;148540;-8.2891560;39.3901329;171
816002;148630;-8.2891550;39.3901329;171
818401;148710;-8.2891560;39.3901329;0
820801;148780;-8.2891560;39.3901329;171
823201;148840;-8.2891560;39.3901367;170
825601;148930;-8.2891569;39.3901367;170
828002;148980;-8.2891560;39.3901329;170
830401;149050;-8.2891569;39.3901329;170
834002;149170;-8.2891569;39.3901329;170
836401;149230;-8.2891579;39.3901329;170
838801;149320;-8.2891579;39.3901329;170
841201;149390;-8.2891588;39.3901329;170
843601;149470;-8.2891588;39.3901291;170
846002;149530;-8.2891588;39.3901291;170
848401;149600;-8.2891598;39.3901291;170
850801;149660;-8.2891598;39.3901291;169
853201;149740;-8.2891607;39.3901329;169
855601;149830;-8.2891607;39.3901329;170
858001;149880;-8.2891617;39.3901329;170
860401;149960;-8.2891617;39.3901329;170
862801;150020;-8.2891626;39.3901329;170
865201;150110;-8.2891617;39.3901329;171
868801;150190;-8.2891607;39.3901329;171
871201;150270;-8.2891598;39.3901329;0
873601;150350;-8.2891598;39.3901329;171
876001;150420;-8.2891598;39.3901329;171
878401;150500;-8.2891598;39.3901329;171
880801;150570;-8.2891598;39.3901367;171
883201;150610;-8.2891588;39.3901367;171
885601;150720;-8.2891588;39.3901405;171
888002;150790;-8.2891588;39.3901443;171
890401;150870;-8.2891588;39.3901482;171
892801;150930;-8.2891598;39.3901482;171
895201;151000;-8.2891617;39.3901520;171
897601;151040;-8.2891626;39.3901482;171
900002;151140;-8.2891636;39.3901443;171
902401;151220;-8.2891655;39.3901443;170
904801;151280;-8.2891655;39.3901443;170
907201;151350;-8.2891655;39.3901405;170
909601;151410;-8.2891655;39.3901405;170
913201;151510;-8.2891645;39.3901405;170
915601;151560;-8.2891655;39.3901405;170
918001;151640;-8.2891655;39.3901405;170
920401;151700;-8.2891665;39.3901405;170
922801;151770;-8.2891665;39.3901405;0
925201;151830;-8.2891674;39.3901405;170
