time,msl_altitude,agl_altitude,verticalSpeed,x0,x1,x2
41.6821719999998,2595.98901,2529.04321,-20.237957,73785.9453,188.05809,-20.5770435
41.7021719999993,2595.47388,2528.52808,-20.2847481,73790.7266,188.502777,-20.3338947
41.7221759999993,2595.18311,2528.2373,-20.1443176,73793.4297,187.203323,-20.5874233
41.7421719999993,2594.39062,2527.44482,-20.4250469,73800.7969,189.82753,-19.7252808
41.7621719999997,2593.30176,2526.35596,-20.9503212,73810.9062,194.730942,-18.2207928
41.7821839999988,2592.60156,2525.65576,-21.1461487,73817.4219,196.565186,-17.5964241
41.8021839999992,2591.67676,2524.73096,-21.5267277,73826.0156,200.12175,-16.4864979
41.8221759999988,2590.3689,2523.4231,-22.2255344,73838.1875,206.645752,-14.5401888
41.8421799999987,2588.89453,2521.94873,-23.0549107,73851.9062,214.389267,-12.2586231
41.8621759999996,2587.71875,2520.77295,-23.6242847,73862.8359,219.71022,-10.6779652
41.8821919999991,2587.1189,2520.1731,-23.7053432,73868.3984,220.477539,-10.3994179
41.9021839999996,2586.27319,2519.32739,-23.9943447,73876.2812,223.184769,-9.57155991
41.9224839999997,2585.08154,2518.13574,-24.5681343,73887.3672,228.549667,-7.99368238
41.9421759999996,2584.01685,2517.07104,-25.0281525,73897.2656,232.854324,-6.72585726
41.9621799999995,2582.70874,2515.76294,-25.6864777,73909.4219,239.010986,-4.93930101
41.9821719999991,2581.3479,2514.4021,-26.3831673,73922.0938,245.527725,-3.06063676
42.0021759999991,2579.63062,2512.68481,-27.3715801,73938.0938,254.770798,-0.418423593
42.0221759999995,2577.83105,2510.88525,-28.4133339,73954.8203,264.515717,2.35129476
42.0421799999995,2576.09497,2509.14917,-29.3925686,73970.9844,273.680389,4.94050407
42.0621759999995,2574.25342,2507.30762,-30.4493561,73988.1406,283.573608,7.72189808
42.082175999999,2572.29541,2505.34961,-31.5910091,74006.3828,294.264496,10.7140093
42.1021759999994,2570.3269,2503.3811,-32.7275925,74024.7188,304.91275,13.6770239
42.1221879999994,2568.42969,2501.48389,-33.7923088,74042.3984,314.89325,16.4335842
42.1421879999989,2566.65942,2499.71362,-34.7383423,74058.8984,323.767242,18.8602619
42.1621799999994,2564.96558,2498.01978,-35.6101189,74074.6875,331.949677,21.0767784
42.1821799999989,2563.35107,2496.40527,-36.4055977,74089.7344,339.420746,23.0786858
42.2021759999998,2561.8689,2494.9231,-37.0810242,74103.5547,345.770203,24.7507095
42.2221799999998,2560.61108,2493.66528,-37.5619583,74115.2891,350.299683,25.8964043
42.2421759999988,2559.40894,2492.46313,-37.9916306,74126.5078,354.350189,26.8995819
42.2621759999993,2558.52368,2491.57788,-38.1500587,74134.7578,355.859924,27.1755352
42.2821759999997,2557.79443,2490.84863,-38.1766624,74141.5625,356.134552,27.0991802
42.3021759999992,2557.14697,2490.20117,-38.1339607,74147.5938,355.759613,26.8387947
42.3221759999988,2556.65552,2489.70972,-37.9616203,74152.1719,354.169525,26.2348118
42.3421839999992,2556.28833,2489.34253,-37.688797,74155.6094,351.63739,25.3667374
42.3621799999992,2555.82324,2488.87744,-37.4993744,74159.9531,349.886688,24.7255039
42.3821759999992,2555.40308,2488.45728,-37.274498,74163.875,347.803375,23.9934597
42.4021759999987,2554.94067,2487.99487,-37.0856133,74168.1797,346.057159,23.3613071
42.4221759999991,2554.57593,2487.63013,-36.8177719,74171.5859,343.570648,22.5225143
42.442188,2554.12695,2487.18115,-36.62323,74175.7734,341.770874,21.8835049
42.4621839999991,2553.73853,2486.79272,-36.3791771,74179.3906,339.506744,21.1162491
42.4821959999999,2553.28125,2486.33545,-36.196167,74183.6641,337.814606,20.515789
42.5021799999995,2552.81616,2485.87036,-36.0213051,74188.0078,336.198547,19.9403477
42.522179999999,2552.30371,2485.35791,-35.8864479,74192.7812,334.957336,19.4746189
42.5421799999995,2551.75928,2484.81348,-35.78125,74197.8672,333.993958,19.090435
42.5621799999999,2551.34448,2484.39868,-35.5677643,74201.7422,332.015259,18.420105
42.5821799999994,2550.83716,2483.89136,-35.4355774,74206.4922,330.798462,17.969944
42.602179999999,2550.45654,2483.51074,-35.1971321,74210.0391,328.585266,17.2393837
42.6221799999994,2550.39062,2483.44482,-34.6968193,74210.6406,323.916687,15.8156986
42.6421879999989,2550.26367,2483.31787,-34.2544823,74211.8281,319.791321,14.5543604
42.6621959999993,2550.06299,2483.11719,-33.8777809,74213.6953,316.280945,13.4748278
42.6821919999993,2550.17139,2483.22559,-33.249218,74212.6953,310.409363,11.7308969
42.7021799999993,2549.92017,2482.97437,-32.9270592,74215.0469,307.409637,10.8124142
42.7221799999998,2549.88867,2482.94287,-32.4245262,74215.3438,302.718903,9.41893768
42.7421799999993,2549.61646,2482.67065,-32.1266022,74217.8672,299.94574,8.57792187
42.7621799999988,2549.33887,2482.39307,-31.8386097,74220.4688,297.265381,7.76804113
42.7821799999992,2549.05103,2482.10522,-31.5614548,74223.1562,294.68631,6.99151897
42.8021799999997,2548.72339,2481.77759,-31.3206825,74226.2188,292.448029,6.31618595
42.8221799999992,2548.22119,2481.27539,-31.2269421,74230.8906,291.587585,6.03597069
42.8421839999992,2547.91479,2480.96899,-30.9726219,74233.7578,289.221863,5.32987309
42.8621839999987,2547.30444,2480.35864,-30.9749069,74239.4688,289.26123,5.31078434
42.8821839999991,2546.61206,2479.66626,-31.0445423,74245.9297,289.931946,5.4710927
